RIAD_CODE;BIC;COUNTRY_OF_REGISTRATION;NAME;BOX;ADDRESS;POSTAL;CITY;CATEGORY;HEAD_COUNTRY_OF_REGISTRATION;HEAD_NAME;HEAD_RIAD_CODE;RESERVE;EXEMPT;RIAD_CODE2
DE02859;GENODED1KLL;DE;Volksbank Kleverland eG;Postfach 1;Minoritenstraße 2;47533;Kleve, Niederrhein;Credit institution S122;;;;Y;N;DE02859
DE02860;GENODED1PAY;DE;Pax-Bank eG;Postfach 1;Christophstraße 35;50670;Köln;Credit institution S122;;;;Y;N;DE02860
DE02863;GENODED1DHK;DE;Volksbank Dünnwald-Holweide eG;;Berliner Straße 933;51069;Köln;Credit institution S122;;;;Y;N;DE02863
DE02873;VRKSDE31XXX;DE;Volksbank Münsterland Nord eG;Postfach 8;Neubrückenstraße 66;48143;Münster, Westf;Credit institution S122;;;;Y;N;DE02873
DE02894;GENODEM1LHN;DE;Volksbank Südmünsterland-Mitte eG;;Wilhelmstraße 6;59348;Lüdinghausen;Credit institution S122;;;;Y;N;DE02894
DE02898;VOMCDE31XXX;DE;Volksbank Marl-Recklinghausen eG.;Postfach 2;Victoriastraße 1 - 5;45772;Marl, Westf;Credit institution S122;;;;Y;N;DE02898
DE02908;GENODEM1MPY;DE;Volksbank Herford-Mindener Land eG;Postfach 2;Werrestraße 67;32049;Herford;Credit institution S122;;;;Y;N;DE02908
DE02911;GENODED1MRY;DE;Volksbank Mönchengladbach eG;Postfach 4;Senefelderstraße 25;41066;Mönchengladbach;Credit institution S122;;;;Y;N;DE02911
DE02912;GENODED1RSY;DE;VR-Bank Bonn Rhein-Sieg eG;;Europaplatz 10 - 12;53721;Siegburg;Credit institution S122;;;;Y;N;DE02912
DE02916;GENODED1DKZ;DE;DKM Darlehnskasse Münster eG;Postfach 2;Breul 26;48143;Münster, Westf.;Credit institution S122;;;;Y;N;DE02916
DE02919;GENODEM1NEZ;DE;Volksbank Sauerland eG;Postfach 4;Drostenfeld 2 - 8;59759;Arnsberg, Westf;Credit institution S122;;;;Y;N;DE02919
DE02923;GENODEM1RNE;DE;Volksbank Rietberg eG;Postfach 1;Gütersloher Straße 9;33397;Rietberg;Credit institution S122;;;;Y;N;DE02923
DE02924;GENODEM1NRY;DE;Volksbank in Südwestfalen eG;Postfach 1;Berliner Straße 39;57072;Siegen;Credit institution S122;;;;Y;N;DE02924
DE02933;GENODEM1CNY;DE;Volksbank Nottuln eG;Postfach 1;Hanhoff 1;48301;Nottuln;Credit institution S122;;;;Y;N;DE02933
DE02934;GENODED1WIY;DE;Volksbank Oberberg eG;Postfach 1;Bahnhofstr. 3;51674;Wiehl;Credit institution S122;;;;Y;N;DE02934
FR13506;AGRIFRCC835;FR;Caisse régionale de crédit agricole mutuel du Languedoc;;AVENUE DE MONPELLIÉRET - MAURIN;34977;LATTES CEDEX;Credit institution S122;;;;Y;N;FR13506
