isocode,abbr,descr
ES,S. EN C. o S. COM.,Sociedad Comanditaria Simple
ES,S. COM. P.A.,Sociedad Comanditaria por acciones
ES,S COOP,Sociedad Cooperativa
ES,SGR,Sociedad de garantía recíproca
ES,SAT,Sociedad agraria de transformación
ES,AIE,Agrupación de Interés económico
ES,SP,Sociedad profesional
EU,SE,Societas Europea
EU,SCE,Societas Cooperativa Europea
EU,EEIG,European Economic Interest Grouping
EU,EGTC,European Grouping of Territorial cooperation
FI,ky,Kommandiittiyhtiö
FI,kb,Kommandiittiyhtiö
FI,oy,Osakeyhtiö
FI,oyj,Osakeyhtiö
FI,ab,Osakeyhtiö
FI,abp,Osakeyhtiö
FI,as oy,Asunto-osakeyhtiö
FI,op,Osuuspankki
FI,osk,Osuuskunta
FI,sr,Säätiö
FI,sp,Säästöpankki
FR,SARL,Société à responsabilité limitée
FR,SÀRL,Société à responsabilité limitée
FR,SA,Société anonyme
FR,SCA,Société en commandite par actions
FR,SICAV,Société d'investissement à capital variable
FR,EURL,Entreprise unipersonnelle à responsabilité limitée
FR,SCOP,Société coopérative de production
FR,SEM,Société d'économie mixte
FR,SAS,Société par actions simplifiée
FR,FCP,Fonds commun de placement dénués de personnalité morale
FR,OT,Organismes de titrisation dénués de personnalité morale
FR,EI,Entreprise individuelle/entreprise en nom personnel
FR,EURL,U-unipersonnelle
FR,SASU,U-unipersonnelle
FR,FCP,Fond commun de placement
FR,GIE,Groupement d'intérêt économique
FR,SEP,Société en participation
FR,SNC,Société en nom collectif
FR,SLP,Société de libre partenariat
FR,SPFPL SCA,Société de Participations Financières de Profession Libérale Société en commandite par actions
FR,SPFPL SARL,Société de Participations Financières de Profession Libérale Société à responsabilité limitée
FR,SPFPL SAS,Société de Participations Financières de Profession Libérale Société par actions simplifiée
FR,CUMA,Coopérative d'utilisation de matériel agricole en commun
FR,SCPI,Société civile de placement collectif immobilier
FR,GAEC,Groupement agricole d'exploitation en commun
FR,SIVOM,Syndicat intercommunal à vocation multiple
FR,SIVU,Syndicat intercommunal à vocation unique
FR,PETR,Pôle d'équilibre territorial et rural
FR,CIAS,Centre Intercommunal d'action sociale
FR,OPHLM,Office public d'habitation à loyer modéré
FR,SDIS,Service départemental d'incendie et de secours
FR,GIP,Groupement d'intérêt public
GR,SP,Astiki (Proswpiki) Eteria
GR,OE,Omórithmi Etería
GR,EE,Eterórithmi Etería
GR,SLP,Afanis Eteria
GR,SA,Anónimi Etería
GR,EPE,Etería Periorisménis Euthínis
GR,IKE,Idiotiki kefaleouhiki Eteria
GR,JSO,Simplioktisia
GR,SC,Naftiki eteria
GR,COOP,Sinetairismos
GR,CLF,Somatia - Idrimata
GR,JV,Kinopraxia
GR,PL,Nomika Prosopa Dimosiou Dikeou
GR,Other,Lipa'
HR,d.d.,Dionicko društvo
HR,d.o.o.,Društvo s ogranicenom odgovornošcu
HR,j.t.d,Javno trgovacko društvo
HR,k.d.,Komanditno društvo
HR,j.d.o.o.,Jednostavno društvo s ogranicenom odgovornošcu
HR,GIU,Gospodarsko interesno udruženje
HR,s.d.d,Športsko dionicko društvo
HU,Kft.,Korlátolt felelosségu társaság
HU,Rt.,Részvénytársaság
HU,OBA,Országos betétbiztosítási alap
IE,LTD,Private Company Limited by Shares
IE,DAC,Designated Activity Company – (limited by shares).
IE,DAC,Designated Activity Company Limited by Guarantee – (limited by guarantee)
IE,CLG,Company Limited by Guarantee (limited by guarantee not having a share capital)
IE,PLC,Public Limited Company
IE,SMC,Single Member Company
IE,UC,Unlimited company
IE,UCITS,Undertakings for Collective Investment in Transferable Securities
IT,PA,PUBBLICA AMMINISTRAZIONE
IT,SNC,SOCIETA' IN NOME COLLETTIVO
IT,SAS,SOCIETA' IN ACCOMANDITA SEMPLICE
IT,SS,SOCIETA' SEMPLICE
IT,SDF,SOCIETA' DI FATTO
IT,AIMP,AZIENDA PROVINCIALE
IT,AIMP,CONSORZIO
IT,COOP,SOCIETA' COOPERATIVA
IT,SPA,SOCIETA' PER AZIONI
IT,SAA,SOCIETA' IN ACCOMANDITA PER AZIONI
IT,SRL,SOCIETA' A RESPONSABILITA' LIMITATA
LT,AB,Akcine bendrove
LT,UAB,Uždaroji akcine bendrove
LT,KO,Kooperatine bendrove
LT,TUB,Tikroji ukine bendrija
LT,KUB,Komanditine ukine bendrija
LT,A,Asociacija
LT,MB,Mažoji bendrija
LT,ZUB,Žemes ukio bendrove
LT,II,Individuali imone
LT,APB,Advokatu profesine bendrija
LT,PDB,Privaciu detektyvu bendrija
LT,VI,Valstybes imone
LT,SI,Savivaldybes imone
LT,VS,Viešoji istaiga
LT,BI,Biudžetine istaiga
LT,LF,Labdaros ir paramos fondas
LT,BN,Bendrija
LT,SD,Sodininku bendrija
LT,PP,Politine partija
LT,TR,Tradicine religine bendruomene ar bendrija
LT,RB,Religine bendruomene ar bendrija
LT,PS,Profesine sajunga ar susivienijimas
LT,S,Šeimyna
LT,PR,"Prekybos, pramones ir amatu rumai"
LT,LPRA,"Lietuvos prekybos, pramones ir amatu rumu asociacija"
LT,CRC,Bendras valdymo ir pranešimu centras
LT,CB,Centrinis bankas
LU,EI,Entreprise individuelle
LU,SENC,Société en nom collectif
LU,SARL,Société à responsabilité limitée
LU,SARLS,Société à responsabilité limitée simplifiée
LU,SECS,Société en commandite simple
LU,SECSP,Société en commandite speciale
LU,SA,Société anonyme
LU,SECA,Société en commandite par actions
LU,SICAV,Société d'investissement à capital variable
LU,SICAF,Société d'investissement à capital fixe
LU,SEPCAV,Société d’épargne-pension à capital variable
LU,SCOP,Société coopérative
LU,SC,Société civile
LU,AM,Association momentanée
LU,GIE,Groupement d'intérêt économique
LU,ASBL,Association sans but lucratif
LU,FON,Fondation
LU,ASSEP,Association d'épargne pension
LU,AAM,Association d'assurances mutuelles
LU,AA,Association agricole
LU,EP,Etablissement public
LU,SNC,Société en nom collectif
LU,SSC,Succursale de société commerciale
LU,SSARLS,Succursale de société à responsabilité limitée simplifiée
LU,FCP,Fonds commun de placement
LU,FIAR,Fonds d'investissement alternatif reservé
LU,AUT,Autres Formes juridiques
LU,SP,Secteur public
LU,SICAR,Société d'investissement à capital risque
LV,AS,Akciju sabiedriba
LV,SIA,Sabiedriba ar ierobežotu atbildibu
LV,VU,Valsts uznemums
LV,PSV,Pašvaldibas uznemums
LV,UZN,Uznemejsabiedribas uznemums
LV,PS,Pilnsabiedriba
LV,KS,Komanditsabiedriba
LV,LIG,Ligumsabiedriba ar pilnu atbildibu
LV,PAJ,Paju sabiedriba
LV,PAP,Sabiedriba ar papildu atbildibu
LV,GIM,Gimenes uznemums
LV,IK,Individualais komersants
LV,IND,Individualais uznemums
LV,KB,Kooperativa sabiedriba
LV,KBS,Kooperativo biedribu savieniba
LV,KBU,Kooperativo biedribu uznemums
LV,KSS,Kooperativo biedribu savienibas uznemums
LV,ZEM,Zemnieku saimnieciba
LV,ZVJ,Zvejnieku saimnieciba
LV,PPI,Publiskas personas un iestades
LV,REL,Religiskas organizacijas uznemums
LV,SOU,Sabiedriskas organizacijas uznemums
LV,ARA,Arodbiedribu apvieniba
LV,ARB,Arodbiedriba
LV,ARV,Arodbiedribas patstaviga vieniba
LV,ROROIG,Religiskas organizacijas un religisko organizaciju iestades
LV,BDR,Biedriba
LV,NOD,Nodibinajums
LV,PP,Politiska partija
LV,PPA,Politisko partiju apvieniba
LV,AKF,Arzemju komersanta filiale
LV,PAR,Parstavnieciba
MT,PCOMM,En commandite
MT,P,En nom collectif
MT,LTD,Limited
MT,OC,Overseas Company
MT,SV,SICAV
MT,PLC,Public limited company
NL,BV,Besloten vennootschap
NL,NV,Naamloze vennootschap
NL,CVA,Commanditaire Vennootschap met rechtspersoonlijkheid
NL,OWM,Onderlinge waarborgmaatschappij
NL,VVE,Vereniging van eigenaars
NL,CV,Commanditaire vennootschap
NL,VOF,Vennootschap onder firma
NL,BA,Coöperatie met Beperkte Aansprakelijkheid
NL,COV,Coöperatieve Vereniging
PL,s.c.,spólki cywilne
PL,sp.p.,spólki partnerskie
PL,S.A.,spólki akcyjne
PL,sp. z o.o.,spólki z ograniczona odpowiedzialnoscia
PL,s.j.,spólki jawne
PL,sp.k.,spólki komandytowe
PL,S.K.A.,spólki komandytowo - akcyjne
PL,TUW,towarzystwa ubezpieczen wzajemnych
PL,OFE,otwarte fundusze emerytalne
PT,ACE,Agrupamento Complementar de Empresas
PT,Lda,Sociedade por Quotas
PT,SUni,Sociedade Unipessoal Por Quotas
PT,SA,Sociedade Anónima
PT,Coman,Sociedades em comandita
PT,SNC,Sociedades em nome coletivo
PT,SOCI,Sociedade Civil
PT,EIRL,Estabelecimento Individual de Responsabilidade Limitada
PT,Coop,Cooperativa
PT,Assoc,Associação
PT,Fund,Fundação
PT,EPE,Empresa Pública Empresarial
PT,PCDP,Pessoa Coletiva de Direito Público
PT,EPMR,"Entidade Publica Municipal, Intermunicipal e Regional"
PT,OAP,Organismo da Administracao Publica
PT,PCR,Pessoa Colectiva Religiosa
PT,OI,Organizacoes Internacionais
RO,SA,Societate pe actiuni
RO,SRL,Societate cu raspundere limitata
RO,SCS,Societate în comandita simpla
RO,SCA,Societate în comandita pe actiuni
RO,ONG,Organiza<U+021B>ie non-guvernamentala
RO,SNC,Societate în nume colectiv
RO,RA,Regie autonoma
RO,GIE,Grupul de interes economic
SE,"HB, KB","Handelsbolag, kommanditbolag"
SE,AB,Bankaktiebolag
SE,AB,Försäkringsaktiebolag
SE,AB,Övriga aktiebolag
SE,Ek. för.,Ekonomisk förening
SE,BRF,Bostadsrättsförening
SE,Spb,Sparbanker
SI,d.n.o.,Družba z neomejeno odgovornostjo d.n.o.
SI,k.d.,Komanditna družba k.d.
